Name,Branche,Ort,Adresse,Telefon,Website-Hinweis,Digitale_Prioritaet,Status,Naechster_Schritt,Datum,Notizen,Kontaktverlauf
"Dr. Sarah Schottelius (Praxis fuer moderne Zahnheilkunde)",Zahnarzt,Pfullendorf,Bahnhofstr. 7,07552 3959310,"Hauptsaechlich auf 11880 gelistet, eigene Website unklar - pruefen",Hoch,Neu,"Website/GBP pruefen, dann anrufen",2026-07-22,"Profil: moderne Zahnheilkunde, PZR-Fokus - passt gut fuer Ads",
"Zahnaerztliche Gemeinschaftspraxis Boehmer/Reuschl",Zahnarzt,Pfullendorf,Bergwaldstr. 1,07552 409951,Noch nicht geprueft,Mittel,Neu,Website/GBP pruefen,2026-07-22,,
"Dres. Christian und Daniela Kugler",Zahnarzt,Pfullendorf,Ueberlinger Str. 9,07572 2442,"Eigene Website vorhanden (kugler-praxis.de), zwei Standorte (Pfullendorf + Mengen) - Ads/GBP-Status pruefen",Niedrig,Neu,"Nur falls Ads/GBP schwach",2026-07-22,"Telefon ist der Mengener Hauptstandort; hat bereits Webauftritt",
"Kieferorthopaedie Dr. Christian Weiger",Kieferorthopaede,Pfullendorf,Hauptstr. 31,,Noch nicht geprueft,Mittel,Neu,"Website/GBP pruefen + Telefonnummer recherchieren",2026-07-22,"KFO vor Ort - Aligner-Leadgen denkbar",
"Zahnarztpraxis Pfullendorf (Kettenacker & Rosenkranz)",Zahnarzt,Pfullendorf,Hauptstrasse 15,07552 4333,"Eigene Website vorhanden (zahnarztpraxis-pfullendorf.de), Fokus Zahnerhaltung/Zahnaesthetik",Niedrig,Neu,"Nur falls Ads/GBP schwach",2026-07-22,"Hat bereits ordentlichen Webauftritt",
"Dr. Schuster (Zahnheilkunde, Zweigstelle Pfullendorf)",Zahnarzt,Pfullendorf,"Adresse pruefen",07529 971979,"Eigene Website vorhanden (dr-schuster.net/pfullendorf), Fokus Implantate/CMD/PZR",Niedrig,Neu,"Nur falls Ads/GBP schwach; Pfullendorfer Adresse verifizieren",2026-07-22,"Mehrere Standorte, Hauptnummer im Raum Herdwangen - lokalen Bezug pruefen",
"Dr. med. dent. Anton Birk",Zahnarzt,Ostrach,Albert-Reis-Str. 1,07585 1677,"In der Suche nur Verzeichnis-Treffer (aerzte.de), eigene Website nicht gesichtet - pruefen",Hoch,Neu,"Website/GBP pruefen, dann anrufen",2026-07-22,"Kleine Einzelpraxis im Umland (15 Min. von Pfullendorf) - starker Kandidat",
"Gemeinschaftspraxis Dres. Vandrey / Boss-Vandrey",Zahnarzt,Krauchenwies,,,"gemeinschaftspraxis-krauchenwies.de existiert - Domain-Zuordnung und Qualitaet pruefen",Mittel,Neu,"Website/GBP pruefen + Telefonnummer recherchieren",2026-07-22,"Umland-Kandidat (10 Min. von Pfullendorf)",
"Zahnaerztin Sandra Schaefer",Zahnarzt,Messkirch,Friedrich-Ebert-Str. 6,,"Auf Doctolib gelistet, eigene Website unklar - pruefen",Hoch,Neu,"Website/GBP pruefen, dann anrufen (Nummer recherchieren)",2026-07-22,"Einzelpraxis, guter Kandidat (Messkirch ~15 Min.)",
"Rudolf Binder Zahnarzt",Zahnarzt,Messkirch,Adlerplatz 12,,"Nur auf 11880 gelistet, kein eigener Domainauftritt gesichtet",Hoch,Neu,"Vor Ort besuchen oder Telefonnummer recherchieren",2026-07-22,"Kleine Einzelpraxis - starker Kandidat",
"Dres. Diesch, Mueller & Partner",Zahnarzt,Messkirch,Ziegelbuehlstr. 7,,"Website pruefen (evtl. identisch mit Standort FairPreisPraxis, Ziegelbuehlstr. 7)",Mittel,Neu,"Website/GBP pruefen + Telefonnummer recherchieren",2026-07-22,"Groessere Gemeinschaftspraxis",
"FairPreisPraxis Messkirch",Zahnarzt,Messkirch,Ziegelbuehlstr. 7,,"Eigene Website vorhanden (fairpreispraxis.de), ueberregionale Kette - Entscheidung evtl. nicht lokal",Niedrig,Neu,"Nur falls lokale Ads fehlen",2026-07-22,"Kette - lokale Marketinghoheit unklar",
"Kieferorthopaedie Dr. Dominik Klaiber",Kieferorthopaede,Sigmaringen,"Adresse pruefen",,"Eigene Website vorhanden (zahnarzt-klaiber.de), bietet Clear Aligner - Ads/GBP-Status pruefen",Mittel,Neu,"Website/GBP + Ads pruefen, Telefonnummer recherchieren",2026-07-22,"Aligner-Angebot = klassisches Ads-Thema",
"Dr. med. dent. Fritz Schulz (Zahnarzt & Kieferorthopaede)",Kieferorthopaede,Sigmaringen,Karlstr. 26,,Noch nicht geprueft,Mittel,Neu,"Website/GBP pruefen + Telefonnummer recherchieren",2026-07-22,"Zahnarzt + KFO kombiniert",
"Kieferorthopaedie Sigmaringen (kfo-sig.de)",Kieferorthopaede,Sigmaringen,"Adresse pruefen",07571 12305,"Eigene Website vorhanden (kfo-sig.de), etabliert seit 1981",Niedrig,Neu,"Nur falls Ads/GBP schwach",2026-07-22,"Lange etabliert - evtl. wenig Ads-Bedarf",
"Happy Smiles Kieferorthopaedie",Kieferorthopaede,"Bad Saulgau",,,"Eigene Website vorhanden (happysmiles.de), Standorte Bad Saulgau + Markdorf, bietet unsichtbare Zahnspangen/Aligner",Niedrig,Neu,"Nur falls lokale Ads fehlen; Telefonnummer recherchieren",2026-07-22,"Mehrere Standorte - Marketing evtl. schon vorhanden",
